full_name,age,position,Current Club,minutes_played_overall,goals_overall,assists_overall,cards_per_90_overall,conceded_per_90_overall,min_per_match,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders
Aaron Cresswell,32,Defender,West Ham United,1589,0,1,0.06,1.25,79,290,191,80
Aaron Lennon,35,Midfielder,Burnley,1217,1,1,0.07,1.48,76,196,187,-1
Aaron Mooy,32,Midfielder,Huddersfield Town,2327,3,1,0.15,1.78,80,144,233,-1
Aaron Ramsey,31,Midfielder,Arsenal,1327,4,6,0.0,0.81,47,69,8,-1
Aaron Rowe,22,Forward,Huddersfield Town,69,0,0,0.0,1.3,35,-1,-1,-1
Aaron Wan-Bissaka,24,Midfielder,Crystal Palace,3135,0,3,0.17,1.18,90,312,160,-1
Abdelhamid Sabiri,25,Midfielder,Huddersfield Town,49,0,0,0.0,5.51,25,-1,-1,-1
Abdoulaye Doucouré,29,Midfielder,Watford,3062,5,6,0.21,1.59,87,124,80,-1
Aboubakar Kamara,27,Forward,Fulham,687,3,0,0.26,2.1,53,38,412,-1
Adalberto Peñaranda Maestre,25,Forward,Watford,0,0,0,0.0,0.0,0,-1,-1,-1
Adam Lallana,34,Midfielder,Liverpool,465,0,0,0.19,0.39,36,379,344,-1
Adam Masina,28,Defender,Watford,1003,0,1,0.45,1.7,72,397,155,144
Adam Smith,31,Defender,AFC Bournemouth,2073,1,1,0.3,1.3,83,227,228,85
Adama Diakhaby,26,Forward,Huddersfield Town,551,0,0,0.16,2.61,46,332,359,-1
Adama Traoré,26,Midfielder,Wolverhampton Wanderers,890,1,1,0.1,1.11,31,160,152,-1
Ademola Lookman,25,Forward,Everton,601,0,2,0.0,1.05,29,292,20,-1
Adrián,35,Goalkeeper,West Ham United,0,0,0,0.0,0.0,0,-1,-1,-1
Adrian Mariappa,36,Defender,Watford,1921,0,0,0.14,1.36,74,396,414,94
Adrien Sebastian Perruchet Silva,33,Midfielder,Leicester City,88,0,0,0.0,1.02,44,-1,-1,-1
Ainsley Maitland-Niles,25,Midfielder,Arsenal,985,1,1,0.27,1.46,62,174,167,-1
Alberto Moreno,30,Defender,Liverpool,155,0,0,0.0,1.16,78,-1,-1,-1
Aleksandar Mitrović,28,Forward,Fulham,3282,11,3,0.19,2.03,89,62,176,-1
Alex Iwobi,26,Forward,Arsenal,1972,3,6,0.0,1.41,56,128,31,-1
Alex McCarthy,32,Goalkeeper,Southampton,2250,0,0,0.04,1.48,90,372,365,114
Alex Oxlade-Chamberlain,29,Midfielder,Liverpool,19,0,0,0.0,0.0,10,-1,-1,-1
Alex Pritchard,29,Midfielder,Huddersfield Town,2092,2,0,0.09,1.68,70,171,373,-1
Alex Smithies,32,Goalkeeper,Cardiff City,0,0,0,0.0,0.0,0,-1,-1,-1
Alexander Sørloth,26,Forward,Crystal Palace,173,0,0,0.0,0.52,14,-1,-1,-1
Alexandre Lacazette,31,Forward,Arsenal,2503,13,8,0.07,1.01,72,21,25,-1
Alexandre Nascimento Costa Silva,25,Forward,West Ham United,17,0,0,0.0,0.0,17,-1,-1,-1
Alexis Sanchez,33,Forward,Manchester United,877,1,3,0.31,0.82,44,166,17,-1
Alfie Jones,25,Defender,Southampton,0,0,0,0.0,0.0,0,-1,-1,-1
Alfie Mawson,28,Defender,Fulham,1131,0,0,0.16,1.99,75,307,255,161
Alfie Whiteman,24,Goalkeeper,Tottenham Hotspur,0,0,0,0.0,0.0,0,-1,-1,-1
Ali Koiki,22,Defender,Burnley,0,0,0,0.0,0.0,0,-1,-1,-1
Alireza Jahanbakhsh,29,Forward,Brighton & Hove Albion,1022,0,0,0.18,1.41,54,403,270,-1
Alisson Becker,30,Goalkeeper,Liverpool,3420,0,0,0.03,0.5,90,417,387,3
Alvaro Morata,30,Forward,Chelsea,943,5,0,0.29,1.05,59,20,338,-1
Ander Herrera,33,Midfielder,Manchester United,1404,2,3,0.26,1.09,64,134,68,-1
André Gomes,29,Midfielder,Everton,1986,1,1,0.32,1.22,74,220,213,-1
Andre Gray,31,Forward,Watford,1358,7,2,0.13,1.52,47,25,109,-1
André Schürrle,31,Midfielder,Fulham,1650,6,0,0.11,2.29,69,54,417,-1
André-Frank Zambo Anguissa,26,Midfielder,Fulham,1518,0,0,0.18,1.78,69,288,285,-1
Andreas Christensen,26,Defender,Chelsea,615,0,0,0.15,1.02,77,338,346,35
Andreas Pereira,26,Midfielder,Manchester United,595,1,1,0.76,1.51,40,117,93,-1
Andrew Robertson,28,Defender,Liverpool,3219,0,11,0.11,0.48,89,418,19,2
Andrew Surman,36,Midfielder,AFC Bournemouth,1438,0,0,0.13,2.19,80,359,379,-1
Andriy Yarmolenko,33,Forward,West Ham United,459,2,0,0.39,0.78,51,36,361,-1
Andros Townsend,31,Midfielder,Crystal Palace,3018,6,4,0.03,1.31,79,102,127,-1
Andy Carroll,33,Forward,West Ham United,454,0,0,0.4,1.19,38,270,326,-1
